Date,Close/Last,Volume,Open,High,Low,,
23/02/2024,78.817,829388400,80.79,82.394,77.57,,
26/02/2024,79.092,503972700,79.7,80.646,78.505,,
27/02/2024,78.701,391705200,79.381,79.48,77.162,,
28/02/2024,77.663,393110400,77.62,78.933,77.125,,
29/02/2024,79.112,507289000,79.094,79.99,78.35,,
01/03/2024,82.279,479135100,80,82.3,79.435,,
04/03/2024,85.237,615616500,84.13,87.695,83.719,,
05/03/2024,85.964,520639300,85.27,86.097,83.417,,
06/03/2024,88.7,582520300,88.022,89.724,87.03,,
07/03/2024,92.669,608119200,90.158,92.767,89.602,,
08/03/2024,87.528,1142269000,95.1379,97.4,86.506,,
11/03/2024,85.774,678364100,86.429,88.797,84.166,,
12/03/2024,91.913,668075200,88.049,91.96,86.1501,,
13/03/2024,90.888,635712900,91.055,91.504,88.435,,
14/03/2024,87.944,602318200,89.577,90.646,86.6,,
15/03/2024,87.8365,642086200,86.93,89.546,86.257,,
18/03/2024,88.455,668975900,90.388,92.405,87.085,,
19/03/2024,89.398,672171300,86.7,90.544,85.01,,
20/03/2024,90.372,479062800,89.797,90.41,88.223,,
21/03/2024,91.435,480372300,92.3,92.648,90.405,,
22/03/2024,94.289,586719400,91.141,94.778,90.834,,
25/03/2024,95.002,552136100,93.941,96.766,93.51,,
26/03/2024,92.561,513647600,95.851,96.375,92.502,,
27/03/2024,90.25,586067200,93.112,93.24,89.123,,
28/03/2024,90.356,435212300,90,91.3,89.193,,
01/04/2024,90.363,452441500,90.299,92.225,89.204,,
02/04/2024,89.452,433063600,88.448,90.094,87.62,,
03/04/2024,88.964,370066600,88.484,90.374,88.4,,
04/04/2024,85.905,434964900,90.406,90.634,85.88,,
05/04/2024,88.008,399678500,86.866,88.481,85.926,,
08/04/2024,87.133,283220000,88.7,88.83,86.732,,
09/04/2024,85.354,503547400,87.442,87.635,83.022,,
10/04/2024,87.039,431928500,83.926,87.4,83.709,,
11/04/2024,90.616,431637300,87.42,90.739,86.926,,
12/04/2024,88.186,426804800,89.699,90.175,87.53,,
15/04/2024,86.001,443077000,89.098,90.613,85.929,,
16/04/2024,87.415,370453000,86.4325,88.118,86.0639,,
17/04/2024,84.035,495399500,88.34,88.775,83.95,,
18/04/2024,84.671,447260300,84.97,86.19,82.402,,
19/04/2024,76.2,875198000,83.15,84.324,75.606,,
22/04/2024,79.518,596340500,78.104,80.073,76.4,,
23/04/2024,82.423,438559400,80.769,82.769,80.264,,
24/04/2024,79.677,512207500,83.95,84.082,79.183,,
25/04/2024,82.632,424640700,78.868,83.323,78.223,,
26/04/2024,87.735,551010800,83.818,88.3309,83.387,,
29/04/2024,87.757,388970800,87.595,87.992,85.266,,
30/04/2024,86.402,363708700,87.24,88.819,86.3,,
01/05/2024,83.041,559863200,85.077,86,81.2546,,
02/05/2024,85.817,377897500,84.449,86.237,83.2,,
03/05/2024,88.789,398340700,87.789,89.281,87.04,,
06/05/2024,92.14,376202600,89.39,92.22,89.055,,
07/05/2024,90.554,437341600,91.098,91.781,89.011,,
08/05/2024,90.412,325721000,89.4825,91.194,89.42,,
09/05/2024,88.747,378012700,90.529,91.072,88.231,,
10/05/2024,89.878,335325400,90.3045,91.401,89.227,,
13/05/2024,90.399,289680200,90.478,90.998,88.529,,
14/05/2024,91.356,296507100,89.599,91.651,88.934,,
15/05/2024,94.63,417735500,92.472,94.862,91.599,,
16/05/2024,94.359,323951800,94.91,95.819,94.103,,
17/05/2024,92.479,359691000,94.369,94.74,91.806,,
20/05/2024,94.78,318764500,93.75,95.2,93.44,,
21/05/2024,95.386,328946500,93.599,95.4,93.18,,
22/05/2024,94.95,548648000,95.459,96.02,93.249,,
23/05/2024,103.799,835065300,102.028,106.32,101.52,,
24/05/2024,106.469,429493700,104.449,106.475,103,,
28/05/2024,113.901,652727900,110.244,114.939,109.883,,
29/05/2024,114.825,557441900,113.05,115.492,110.901,,
30/05/2024,110.5,487350300,114.65,115.8191,109.663,,
31/05/2024,109.633,613262500,112.52,112.717,106.94,,
03/06/2024,115,438391800,113.621,115,112.003,,
04/06/2024,116.437,403324000,115.716,116.6,114.045,,
05/06/2024,122.44,528401800,118.371,122.4495,117.468,,
06/06/2024,120.998,664696200,124.048,125.587,118.32,,
07/06/2024,120.888,412385800,119.77,121.6917,118.022,,
10/06/2024,121.79,314162700,120.37,123.1,117.01,,
11/06/2024,120.91,222551200,121.77,122.87,118.74,,
12/06/2024,125.2,299595000,123.06,126.88,122.57,,
13/06/2024,129.61,260704500,129.39,129.8,127.16,,
14/06/2024,131.88,309320400,129.96,132.84,128.32,,
17/06/2024,130.98,288504400,132.99,133.73,129.58,,
18/06/2024,135.58,294335100,131.14,136.33,130.69,,
20/06/2024,130.78,517768400,139.8,140.76,129.52,,
21/06/2024,126.57,655484700,127.12,130.63,124.3,,
24/06/2024,118.11,476060900,123.24,124.46,118.04,,
25/06/2024,126.09,425787500,121.2,126.5,119.32,,
26/06/2024,126.4,362975900,126.13,128.12,122.6,,
27/06/2024,123.99,252571700,124.1,126.41,122.92,,
28/06/2024,123.54,315516700,124.58,127.71,122.75,,
01/07/2024,124.3,284885500,123.47,124.84,118.83,,
02/07/2024,122.67,218374000,121.13,123.41,121.03,,
03/07/2024,128.28,215749000,121.66,128.28,121.36,,
05/07/2024,125.83,214176700,127.38,128.85,125.68,,
08/07/2024,128.2,237677300,127.49,130.77,127.04,,
09/07/2024,131.38,287020800,130.35,133.82,128.65,,
10/07/2024,134.91,248978600,134.03,135.1,132.42,,
11/07/2024,127.4,374782700,135.75,136.15,127.05,,
12/07/2024,129.24,252680500,128.26,131.92,127.22,,
15/07/2024,128.44,208326200,130.56,131.39,127.18,,
16/07/2024,126.36,214769500,128.44,129.04,124.58,,
17/07/2024,117.99,390086200,121.35,121.85,116.72,,
18/07/2024,121.09,320979500,121.85,122.4,116.56,,
19/07/2024,117.93,217223800,120.35,121.6,117.37,,
22/07/2024,123.54,258068900,120.35,124.07,119.86,,
23/07/2024,122.59,173911000,122.78,124.69,122.1,,
24/07/2024,114.25,327776900,119.17,119.95,113.44,,
25/07/2024,112.28,460067000,113.04,116.63,106.3,,
26/07/2024,113.06,293399100,116.19,116.2,111.58,,
29/07/2024,111.59,248152100,113.69,116.28,111.3,,
30/07/2024,103.73,486833300,111.52,111.99,102.54,,
31/07/2024,117.02,473174200,112.9,118.34,110.88,,
01/08/2024,109.21,523462300,117.53,120.16,106.8104,,
02/08/2024,107.27,482027500,103.76,108.72,101.37,,
05/08/2024,100.45,552842400,92.06,103.41,90.69,,
06/08/2024,104.25,409012100,103.84,107.71,100.55,,
07/08/2024,98.91,411440400,107.81,108.8,98.69,,
08/08/2024,104.97,391910000,102,105.5,97.52,,
09/08/2024,104.75,290844200,105.64,106.6,103.43,,
12/08/2024,109.02,325559900,106.32,111.07,106.26,,
13/08/2024,116.14,312646700,112.44,116.23,111.58,,
14/08/2024,118.08,339246400,118.53,118.6,114.07,,
15/08/2024,122.86,318086700,118.76,123.24,117.47,,
16/08/2024,124.58,302589900,121.94,125,121.18,,
19/08/2024,130,318333600,124.28,130,123.42,,
20/08/2024,127.25,300087400,128.4,129.88,125.89,,
21/08/2024,128.5,257883600,127.315,129.35,126.66,,
22/08/2024,123.74,376189100,130.02,130.75,123.1,,
23/08/2024,129.37,323230300,125.86,129.6,125.22,,
26/08/2024,126.46,331964700,129.57,131.26,124.37,,
27/08/2024,128.3,303134600,125.05,129.2,123.88,,
28/08/2024,125.61,448101100,128.12,128.33,122.64,,
29/08/2024,117.59,453023300,121.355,124.43,116.71,,
30/08/2024,119.37,333751600,119.53,121.75,117.22,,
03/09/2024,108,477155100,116.01,116.21,107.29,,
04/09/2024,106.21,372470300,105.41,113.27,104.12,,
05/09/2024,107.21,306850700,104.985,109.65,104.76,,
06/09/2024,102.83,413638100,108.04,108.15,100.95,,
09/09/2024,106.47,273912000,104.88,106.55,103.69,,
10/09/2024,108.1,268283700,107.81,109.4,104.95,,
11/09/2024,116.91,441422400,109.39,117.19,107.42,,
12/09/2024,119.14,367100500,116.84,120.79,115.38,,
13/09/2024,119.1,238358300,119.08,119.955,117.6,,
16/09/2024,116.78,248772300,116.79,118.18,114.36,,
17/09/2024,115.59,231925900,118.17,118.8,114.83,,
18/09/2024,113.37,310318900,115.89,117.7,113.22,,
19/09/2024,117.87,293506400,117.35,119.66,117.25,,
20/09/2024,116,382462400,117.06,118.6181,115.3901,,
23/09/2024,116.26,206228500,116.55,116.99,114.86,,
